composition,score,var,std
Rb2 Gd1 Ga1 Si4 O12,0.9270929312705992,0.0005884225559562508,0.02425742269814027
Li1 Pr2 C2 N4 F3,0.9270894658565522,0.007167396644067775,0.08466047864303494
K4 Mo6 Pt1 O26,0.9270886993408204,0.0005277192126218128,0.022972139922563
Ba1 Zn1 Sn1,0.927088223695755,0.005622336879188326,0.07498224375936162
Cs3 Mn1 Br5,0.9270758545398712,0.003404559645074628,0.05834860448266632
Rb3 Mn2 Cl7,0.9270710229873658,0.002030476889506617,0.04506081323618802
Cu3 Mo2 O10,0.927067048549652,0.001741265451015458,0.041728472905385096
V3 Ge1 N1,0.9270515424013138,0.0041198746428991115,0.06418624964039503
Nd4 Br9,0.9270506995916368,0.003502594042376689,0.0591827174298096
Dy2 S3,0.927044284939766,0.0012303267908491686,0.03507601446642946
K3 Na2 Li1 Te1 O6,0.9270412516593932,0.0012365753590019948,0.035164973467955225
K2 Cr2 As1 H1 O10,0.9270384162664412,0.0004152343982430561,0.020377301053943725
K1 Er1 P2 O9,0.9270372623205184,0.0002954946606841628,0.01718995813503229
Ba1 Mg2 Ge2,0.927036516815424,0.019198335776915036,0.13855805922758527
La4 Fe1 Sb2 Se10,0.9270335745811462,0.001756056545139477,0.041905328362148365
Ce1 Tl5 Co2 N12 O24,0.9270191591978072,0.0008713084665011942,0.02951793465846136
Pu1 Mo6 Se8,0.9270152121782302,0.003059399067687308,0.055311834788653584
Al3 Pt2,0.9270075929164886,0.009577394024401735,0.09786416108260336
Ag3 P1 S4,0.9270023977756501,0.0035048902594487013,0.059202113640044136
K2 Cr3 Cl2 F6,0.9269936114549636,0.0021261255549004953,0.04610992902727671
Ba1 Cd1 P1 F1,0.926992216706276,0.005087229536240539,0.07132481711326387
Dy1 W1 Br1 O4,0.926991359591484,0.0008931105237284845,0.029884954805528562
Br1 Cl1,0.9269912350177764,0.0038623402812723658,0.062147729494104326
B2 Se2 O7,0.9269908779859544,0.0007182893822308995,0.026800921294442462
Li2 Al1 B5 O10,0.9269908165931702,0.001387321577040532,0.03724676599438577
Mg1 Au2 S4 O16,0.9269887953996658,0.0006420419408925947,0.025338546542621482
Na3 Nd1 B2 O6,0.9269823092222214,0.001069607824153725,0.03270485933548293
Co5 Se4 Cl2 O12,0.9269761514663696,0.0019221940633640086,0.04384283366029172
K1 V1 O1 F4,0.9269760417938232,0.0008327571177456916,0.028857531386896063
La2 Th1 Se5,0.9269695669412612,0.002331135370677472,0.04828183271870976
Nd2 U1 S5,0.9269634902477264,0.002225993820322465,0.04718043895856063
Yb2 In1,0.9269626551866532,0.010941374303714802,0.10460102439132613
Cs1 K4 Ga1 O4,0.9269572275876999,0.0019446003806551926,0.04409762329939328
P4 N6 O1,0.9269531863927841,0.0026998949840972173,0.0519605137012445
Ti1 Pb1 S6 O21,0.926921924352646,0.0007017537536166588,0.02649063520598664
C1 N1 Cl1 O4,0.9269126570224762,0.0012948997752596381,0.03598471585631375
Ce1 Ni1 Ge1,0.926883254647255,0.0049566286450341045,0.07040332836616536
Yb2 Eu1 S4,0.9268655210733414,0.006177481157525078,0.07859695386925042
Rb2 Cu2 I4 O1,0.9268554675579072,0.006508265589938543,0.08067382220980078
Pr2 S1 O2,0.9268537855148316,0.0025267645122013056,0.05026693259192673
K2 Sn1 H2 Cl4 O1,0.9268535846471786,0.002333822704405384,0.04830965436023512
Th1 Mo2 O9,0.9268534815311432,0.000999575211982476,0.031616059399970704
La1 Tm1 Ge4 Ir2,0.9268474119901656,0.003162777512334916,0.0562385767275001
Cs1 Sc1 As2 H2 O8,0.9268455499410628,0.0006615755449674403,0.025721110881286608
Ho3 In1 N1,0.9268345856666564,0.004438684838842939,0.06662345562069667
Er3 In1 N1,0.9268345856666564,0.004438684838842939,0.06662345562069667
K2 Sc1 Si4 O10 F1,0.9268345594406128,0.0005294035772717363,0.0230087717462653
Ce1 S2,0.926810330748558,0.001476376163865389,0.03842364068988504
La1 S2,0.926810330748558,0.001476376163865389,0.03842364068988504
Er1 Al1 Zn1,0.926803601682186,0.008433666111194803,0.09183499393583472
Ca1 Si1 B1 H1 O5,0.9268008798360824,0.0004397479452437645,0.02097016798320329
Ca3 Si1 Cl2 O4,0.9267962914705276,0.0012106560054096786,0.03479448239893329
Sr1 In2 Se4,0.9267916613817216,0.0030354061456615896,0.05509452010555668
Si1 H2,0.9267866981029508,0.005329209140378152,0.07300143245428922
Ca1 Ga2 S4,0.9267737305164336,0.002063151848517522,0.04542193136049503
Zr2 Cr4 Si5,0.9267736089229583,0.0051174899479815355,0.07153663360811394
Ta1 Ga3,0.9267727118730544,0.0046161265539567935,0.0679420823492833
K2 Ru1 N1 Cl5 O1,0.9267723441123964,0.001320761500508993,0.03634228254401466
Tm3 Al1 C1,0.9267661792039872,0.008710761932851174,0.0933314627167665
Ba3 Bi1 Cl3 O3,0.9267592173814774,0.003442267629754045,0.058670841392927414
Cu1 Au1 F5,0.926758029460907,0.006074942651263237,0.07794191844741337
Nd1 Bi2 I1 O4,0.9267566561698912,0.0016540809516173028,0.04067039404305425
U1 Si1 Au1,0.92675017952919,0.006423400459959783,0.08014611943169665
Sr3 Bi1 Cl3 O3,0.9267483842372894,0.003298104941364839,0.05742912972842998
La5 In3 Br1,0.9267375963926316,0.004555613003268565,0.06749528134076163
Li2 In1 Pt1,0.92672682762146,0.003567279060573633,0.059726703078050725
Ce2 Si5 Ir3,0.9267237928509712,0.007584271701767173,0.08708772417377304
Er1 Ag1 P2 Se6,0.9267230486869812,0.0019541408952412197,0.044205665872614326
Li1 Eu3 Si1 Cl3 O4,0.9267196232080459,0.0017056667180918544,0.041299718135743416
Cd2 S1 O6,0.9267182272672652,0.000926237394632967,0.030434148495283506
Rb2 H1 Br1 O1,0.9267129224538804,0.003755824695618389,0.061284783556918826
Hf2 In1 C1,0.926712312102318,0.005153435245822184,0.07178743097382845
Yb2 C3 N6,0.9267064374685288,0.0022895594331628108,0.047849340989848665
K1 Te1 O2 F1,0.9267022609710692,0.00190930264826612,0.043695567833203865
K2 Mo1 C2 O9,0.9266967946290968,0.0007316665503051418,0.02704933548731173
Rh2 Se3,0.9266902464628219,0.00664019615947611,0.08148739877721037
Ca1 Zn1 Si1,0.9266864836215972,0.007854971677122825,0.08862827808957377
Dy3 Te3 N1,0.926684952378273,0.005304745558015603,0.07283368422656926
Ce5 Ge4,0.9266761833429336,0.008411585221300621,0.09171469468575152
Ba1 Si2 B2 O8,0.9266745257377624,0.0006450024518988956,0.02539689847006708
Sc1 C3 N9 F6,0.9266727608442308,0.0012964884624427427,0.036006783561472716
Rb1 In6 Au4,0.926653226017952,0.008421674414223762,0.09176968134533194
K1 Fe2 P3 O8 F6,0.9266481745243073,0.00043785102932866727,0.020924890186776783
K1 Co1 P1 O4,0.9266416960954666,0.0006048400010565938,0.02459349509639884
Sr3 Sn2 As4,0.9266371071338654,0.007257492776391495,0.08519091956535918
La8 Al4 I7,0.9266294571757316,0.010362874963849524,0.10179820707581017
Nd1 Si1 Pd2,0.926623992919922,0.004213612096523411,0.06491234163488027
Cs2 Na3 In1 O4,0.926622583270073,0.0026582353711147176,0.051558077651467166
V1 Se1,0.926619034409523,0.005259807688843713,0.07252453163477661
S1 O6,0.9266159975528716,0.0008332638209503514,0.02886630944458178
Na5 Li1 P2 O8,0.9266108924150468,0.001070765449964675,0.03272255261993897
Th1 Al10 Fe2,0.9266060090065004,0.002737885851317098,0.05232481104903388
Ge2 Pt3,0.9266033494472504,0.0048104095500861215,0.0693571160738833
Eu1 Al2 Au2,0.9265978842973708,0.0062028623143567324,0.07875825235717672
Pt1 N4 Cl2 O2,0.926596212387085,0.0011701419232004893,0.03420733727141721
K5 Hg7,0.9265932995080948,0.00395771886771806,0.0629104034935245
Li1 Cd2 H1 Se2 O7,0.9265759658813476,0.0007854496542238306,0.02802587472718436
Ho11 Te16 Cl1 O48,0.9265650194883348,0.001350040813990564,0.03674290154561237
U1 Zn4 P2 H6 O15,0.9265634876489641,0.0006205261419627463,0.024910362140337226
K1 Ti1 As1 O5,0.9265603536367416,0.0006718327447038559,0.025919736586313063
Sn1 Rh2,0.9265566819906236,0.009049078141506905,0.09512664264813987
Li3 Ga2,0.9265443193912506,0.007130411932068156,0.0844417665143746
Nb4 Fe2 N1,0.9265438187122343,0.0048329985266243065,0.06951977076072897
Sr1 Li1 B1 O3,0.9265343445539476,0.0009953092513963254,0.0315485221745223
Nd1 Pd3,0.9265269976854325,0.004402655036117711,0.06635250587670152
Rb1 Mg1 B1 O3,0.9265221029520034,0.0028506305870157696,0.05339129692202438
Pb2 Cl3 O1,0.9265150970220566,0.0023111022992916533,0.048073925357637014
Zr1 Nb1 P1,0.9265145260095596,0.004958003716266011,0.07041309335816749
Ta2 Br5,0.9265104413032532,0.002691131846070789,0.051876120190997216
Fe1 Te6 O13,0.926509228348732,0.00150419354536619,0.038783934114091485
Tl1 P1 O4,0.9265008437633514,0.0005117246326127811,0.02262133136251669
Ca1 Fe4 As3,0.9264960235357284,0.006789479473943282,0.08239829776119942
Ag1 Te1 N1 O5,0.9264926993846894,0.0008122067861763343,0.02849924185265872
U1 Si1 Ir1,0.9264826442301274,0.01735470169365193,0.1317372448992764
Sr2 V1 Cl1 O4,0.9264812362194058,0.000699134386778466,0.026441149498054463
Nd7 V1 Se8 O4,0.9264775848388672,0.0016869331173108518,0.041072291356958064
Mg2 In1,0.9264769685268402,0.011091634771629626,0.10531683042908968
Er3 P4 Pd7,0.9264700078964232,0.0055994576383955295,0.07482952384183351
Ag2 S2 O7,0.9264685559272766,0.001374566716000251,0.0370751495748871
Ba4 Tb2 Cd3 S10,0.926463532447815,0.002668478134614247,0.051657314434785
Cl1 O6,0.9264624059200288,0.0006062331799011032,0.02462180293766286
Sc1 Cl1,0.9264616495370864,0.0037905496607918312,0.061567439940213776
K1 Te1,0.9264599478244782,0.005318984314961116,0.07293136715406558
Nd2 Ti2 S2 O5,0.9264495104551316,0.0019412507604420442,0.04405962732981344
Lu1 In1 Au1,0.9264417761622462,0.030269169296405437,0.17398037043415396
Yb1 Tm2 Se4,0.9264415419101716,0.002538496942396407,0.05038349871134802
K3 Li1 Ir1 O4,0.9264263761043549,0.001912524286492939,0.04373241688373671
La2 Th1 S5,0.9264184266328812,0.0019254259773868207,0.04387967613128909
Ce2 Th1 S5,0.9264184266328812,0.0019254259773868207,0.04387967613128909
Pr1 Ge1 B1 O5,0.9264148449897768,0.0006065802928995308,0.024628850823770296
Tb1 Fe1 Si1,0.9264143490791321,0.006226245968808649,0.07890656480172388
Tb4 Bi3,0.9263864868879318,0.006077395773440108,0.07795765371943994
Zr6 B1 Cl18 O24,0.9263861930370332,0.0011520901879508902,0.03394245406494484
Sc1 V1 Se2 O8,0.9263779628276824,0.000781836881278961,0.027961346199333124
Te4 P2 O13,0.9263777887821196,0.0007341142966844403,0.027094543669979758
K1 Na1 S1,0.9263715761899948,0.0034380885298567025,0.05863521578246901
Na4 Se1 O5,0.9263690084218978,0.0013208475218025749,0.03634346601251145
Tb2 Zr1 Se5,0.9263623821735382,0.0017288519705004706,0.04157946573130143
K1 Ga1 P4 O12,0.9263597059249878,0.0004388101176791738,0.0209477950553077
Ga1 Pd1,0.9263550555706024,0.009931626336872343,0.09965754530828233
P1 Pd1 S1,0.9263499049842358,0.012856378263880029,0.11338597031326245
Fe1 N2 Cl2,0.9263393747806548,0.004233960560646082,0.06506889088224943
Ba1 Co1 S1 O1,0.9263367450237274,0.004747658373174221,0.06890325371979339
Dy9 Sb5 O5,0.9263290941715241,0.0057919572418311215,0.0761049094463105
Sr1 N2 O6,0.9263166832923888,0.0006671639736854242,0.025829517488436062
Li1 Nd1 Sn2,0.9263044518232344,0.00513482846156845,0.07165771739016287
Zn6 Sb5,0.9263009351491928,0.009843252503245213,0.09921316698526064
Ba5 V4 Cl2 O14,0.9262760668992996,0.0005000658766226262,0.02236215277254465
Cs1 Yb3 F10,0.9262719213962556,0.0023401332461259372,0.048374923732507714
Na2 Se1 O4,0.9262669968605042,0.000980024436778101,0.03130534198468531
Cs1 Er6 C1 I12,0.9262645423412325,0.0023780886393843658,0.04876565019954482
Nd1 Fe1 Si1,0.9262623077630996,0.0056157165221180855,0.07493808459066781
Hf1 As1 Ru1,0.9262568783760072,0.007736325639062761,0.0879563848680854
Y1 I1,0.9262397086620332,0.009785265269967751,0.09892049974584516
Yb7 In1 Ni4 Ge12,0.9262368321418762,0.0041003041546266395,0.06403361737889436
Mg1 Pd1 F6,0.9262305670976638,0.0020562624123162216,0.04534602973046506
Na3 Sb1 Te3,0.9262273532152177,0.0050843942513403295,0.07130493847792263
Fe2 Cu8 P4 O21,0.9262206035852432,0.0019365123790037347,0.044005822103486886
Li3 N1,0.9262205892801284,0.0034887981483251373,0.05906604903263074
Cu2 Te3 O8,0.9262199699878692,0.0015876882618136175,0.03984580607559116
K2 V1 H2 O1 F5,0.9262168711423874,0.0016750014401826618,0.04092678145399002
Eu3 Rh4 Pb13,0.9262129962444304,0.006111243366592197,0.07817444190137975
Hg4 Sb1 H1 O6,0.9262065482139588,0.004048708270696782,0.06362946071354669
Sm1 Co1 As1 O1,0.926203605532646,0.005516243734503832,0.07427141936508168
K1 Cr1 F6,0.926201467514038,0.0012870435340825055,0.03587538897465093
Nd2 W1 O6,0.9262013852596284,0.0008427660674012928,0.029030433469056108
Ba6 Ge5 N2,0.9261999547481536,0.005818093870394952,0.07627643063486225
Er9 Fe10 Ge10,0.9261912560462952,0.006967620791027763,0.08347227558314056
K3 Na1 U1 C3 O11,0.9261873638629914,0.0007858219103025323,0.02803251523325248
Pr1 Fe4 Sb12,0.9261871880292892,0.004093500293051129,0.06398046805901883
Fe1 Cl3 O6,0.9261859154701232,0.001273554288713166,0.03568689239361093
Er15 C19,0.9261766064167024,0.003326190146603237,0.057673131929896426
Ga2 P2 N2 O8 F3,0.9261696243286132,0.0005615433962118543,0.023696906891234864
Pr1 N1,0.9261686915159224,0.0075111243135342455,0.08666674283445898
Eu4 As2 O1,0.9261632561683656,0.005490043860091519,0.07409483018464594
Nd2 Nb2 S7 O30,0.9261533480882644,0.0006262168532210563,0.02502432523008475
Tm2 Te5,0.9261415046453476,0.003996636722530003,0.06321895856885024
